Date,Rank,Brand,Product Name,Price,Tags
2026-01-13 11:33:44,35,메디큐브,[1월 올영픽/미백천재앰플] 메디큐브 PDRN 핑크 펩타이드 앰플 30ml 기획(앰플10ml+수분크림 10ml),"19,900","세일, 오늘드림"
2026-01-13 11:33:44,36,VT,[애니PICK][광채탄력] VT PDRN 에센스 30ml 기획 (+15ml+리들샷100 1ml*2+리들샷300 1ml),"19,400","세일, 쿠폰, 오늘드림"
2026-01-13 11:33:44,37,토리든,[증량기획] 토리든 다이브인 저분자 히알루론산 토너 300ml 기획(+100ml 추가 증정),"15,700","세일, 오늘드림"
2026-01-13 11:33:44,38,메디큐브,[1월 올영픽/연어캡슐크림]메디큐브 PDRN 핑크 콜라겐 캡슐크림 55g 기획(+4.5g*2매),"23,800","세일, 오늘드림"
2026-01-13 11:33:44,39,닥터지,[2025 어워즈/7년연속수상] 닥터지 레드 블레미쉬 클리어 수딩크림 70ml 더블 어워즈기획(+세럼20ml+겔마스크),"28,800","세일, 오늘드림"
2026-01-13 11:33:44,40,VT,VT 피디알엔 캡슐 크림 100 50ml 기획 (+피디알엔 에센스 15ml),"19,400","세일, 쿠폰, 오늘드림"
2026-01-13 11:33:44,41,메디큐브 에이지알,[수분크림 본품증정] 메디큐브 에이지알 미니플러스 짱구 에디션(올영한정)/미니플러스 라인업 택,"119,000","세일, 쿠폰, 증정, 오늘드림"
2026-01-13 11:33:44,42,성분에디터,[1월올영픽]성분에디터 실크펩타이드 EGF 하트핏 볼륨 리프팅 앰플 40ml 더블기획(+산리오캐릭터즈 파우치),"25,800","세일, 쿠폰, 증정, 오늘드림"
2026-01-13 11:33:44,43,달바,[2025 어워즈] 달바 화이트 트러플 퍼스트 스프레이 세럼 100ml 어워즈 한정기획 (+100ml+50ml),"40,900","세일, 쿠폰, 오늘드림"
2026-01-13 11:33:44,44,메디힐,[1월 올영픽/모공광채] 메디힐 PDRN 모공 탄력 세럼 40+40ml 단독 기획,"20,900","세일, 쿠폰, 증정, 오늘드림"
2026-01-13 11:33:44,45,차앤박,[1월올영픽/안개분사] 차앤박 프로폴리스 에너지 앰플 미스트 100ml 트리플 기획,"19,800","세일, 증정, 오늘드림"
2026-01-13 11:33:44,46,아누아,[1월 올영픽/뽀용뇽공동개발] 아누아 피디알엔 히알루론산 수분 캡슐 미스트 100ml 기획 (+크림10ml +패드2매),"19,500","세일, 쿠폰, 오늘드림"
2026-01-13 11:33:44,47,제로이드,[온라인단독/대용량] 제로이드 인텐시브 크림 80ml 기획 (+50ml),"36,000","세일, 오늘드림"
2026-01-13 11:33:44,48,브링그린,[1월올영PICK| 피지쓱싹] 브링그린 티트리 시카 수딩 토너 250mL/500mL 기획,"18,900","세일, 오늘드림"
